"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 42
Table 19: Prevalence of presumptive ESBL- and/or AmpC-producing E. coli isolates from cattle under 1 year of age collected within the specific

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
300,62.5,49.5-68.2,58.8,46.2-64.3,9.8,5.7-12.4,1.2,0.2-2.9,6,3.1-8.5,2.2,0.7-4.3,0
170,23.5,17.4-30.6,15.3,10.2-21.6,4.7,2.1-9.1,0,0-2.1,8.2,4.6-13.4,0,0-2.1,0
306,7.8,5.1-11.4,4.2,2.3-7.2,2,0.7-4.2,0,0-1.2,3.9,2-6.7,0.3,0-1.8,0
244,20.1,15.2-25.7,12.7,8.8-17.5,2.5,0.9-5.3,0,0-1.5,8.6,5.4-12.9,1.2,0.3-3.6,0
407,70.8,62.8-72.1,69.2,61.3-70.7,8.2,5.4-10.9,0,0-0.9,3.3,1.7-5.4,1.8,0.7-3.5,0
268,99.6,97.9-100,98.5,96.2-99.6,23.1,18.2-28.7,0.4,0-2.1,2.2,0.8-4.8,1.1,0.2-3.2,0
297,32.3,29.3-40.4,30.1,27-38,3.1,1.6-6.1,0,0-1.2,4.1,2.4-7.4,1.9,0.7-4.3,0
298,45.3,36.6-48.1,44.6,36-47.4,2.9,1.2-5.2,0,0-1.2,2.2,0.7-4.3,1.4,0.4-3.4,0
398,38.9,34.1-43.9,36.2,31.5-41.1,9.8,7.1-13.2,0,0-0.9,4.8,2.9-7.4,2,0.9-3.9,0
"2,688",46.2,42.9-46.7,43,39.9-43.7,7.5,6.4-8.4,0.1,0-0.4,4.6,3.7-5.3,1.4,1-1.9,0
319,4.1,2.2-6.9,1.3,0.3-3.2,0,0-1.1,0,0-1.1,2.8,1.3-5.3,0,0-1.1,0
298,30.6,25.4-36.1,21.1,16.6-26.2,5,2.8-8.2,0,0-1.2,10.1,6.9-14.1,0.7,0.1-2.4,0
