Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 34
ESBL(b) AmpC(e) ESBL + AmpC(f) CPs(g)

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Spain,423,77.1,72.8-81,67.4,62.7-71.8,13.2,10.2-16.9,0.2,0-1.5,17.5,14-21.5,7.8,5.4-10.8,0,0-0.9
Sweden,300,8.3,5.5-12.1,1,0.2-2.9,0,0-1.2,0,0-1.2,7.3,4.7-10.9,0,0-1.2,0,0-1.2
Total (26 MSs),"6,400",54.7,40.2-,42.8,31.3-44,8.6,7.9-9.4,0.3,0.2-0.5,13.2,9.3-14.1,1.3,0.8-1.3,0,0-0.1
Iceland,152,3.3,"55.9.6
1.1-7.5",3.3,1.1-7.5,0,0-2.3,3.3,1.2-7.9,0,0-2.4,0,0-2.4,0,0-2.4
Norway,321,14.6,11-19,0.9,0.2-2.7,0,0-1.1,0,0-1.1,13.7,10.1-18,0,0-1.1,0,0-1.1
Switzerland,289,5.9,3.5-9.3,4.2,2.2-7.1,2.1,0.8-4.7,0.3,0-2.2,1.7,0.6-4,0,0-1.3,0,0-1.3
United Kingdom,68,60.3,47.7-72,57.4,44.8-69.3,22.1,13.3-34.1,0,0-5.1,3,0.4-10.2,0,0-5.3,0,0-5.3
