Source: Annex_D_ESBL_EUSR_AMR_2020-2021.pdf
Page: 30
ESBL(b) AmpC(e) ESBL + AmpC(f) CPs(g)

-- Table 1 (auto-detected) --
,,ESBL and/or,,,,ESBL only,,ESBL only
,,,,ESBL(b),,,,,,AmpC(e),,ESBL + AmpC(f),,CPs(g)
,,AmpC(a),,,,CLA/CTX SYN(c),,CLA/CAZ SYN(d)
Country,Ns
,,,,,,,,,,95%,,95%,,95%
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,%P,,%P,,%P,,%P
,,,,,,,,,,CI,,CI,,CI

Malta,150,14,8.9-20.6,12.7,7.8-19.1,19,6.3-42.6,0,0-15.3,2.7,0.7-6.7,1.3,0.2-4.7,0,0-2.4
Poland,310,6.1,3.7-9.4,5.5,3.2-8.6,1.3,0.4-3.5,0,0-1.2,0.6,0.1-2.3,0,0-1.2,0,0-1.2
Portugal,102,11.8,6.2-19.6,10.8,5.5-18.5,2,0.3-7.6,0,0-3.5,2.9,0.6-8.4,2,0.2-6.9,0,0-3.6
Romania,300,11.3,8-15.5,8,5.2-11.7,1.3,0.4-3.6,0,0-1.2,3.3,1.6-6,0,0-1.2,0,0-1.2
Slovakia,149,18.8,12.9-26,15.4,10-22.3,6.7,3.4-12.3,0,0-2.4,3.4,1.1-7.7,0,0-2.4,0,0-2.4
Slovenia,152,13.8,8.8-20.3,8.6,4.6-14.2,4.6,2-9.6,0,0-2.3,5.3,2.3-10.1,0,0-2.4,0,0-2.4
Spain,300,15.7,11.7-20.3,13.7,10-18.1,2.3,1-5,0,0-1.2,2.3,0.9-4.7,0.3,0-1.8,0,0-1.2
Total (23 MSs),"5,339",9.8,7.3-10.6,8.1,6-8.9,1.9,1.5-2.3,0.1,0-0.2,1.8,1.2-1.9,0.2,0.1-0.3,0,0-0.1
Norway,311,0.3,0-1.8,0,0-1.2,0,0-1.2,0,0-1.2,0.3,0-1.8,0,0-1.2,0,0-1.2
