Year,ATCCode,ATC code name,tonnes per year
2014,J01F,"Macrolides, lincosamides and streptogramins",7.611
2014,J01G,Aminoglycoside antibacterials,0.101
2014,J01M,Quinolone antibacterials,7.688
2014,J01R,Combinations of antibacterials,0.000
2014,J01X,Other antibacterials,4.598
2014,P01A,Agents against amoebiasis and other protozoal diseases,1.213
2015,A07A,Intestinal antiinfectives,0.024
2015,J01A,Tetracyclines,2.671
2015,J01B,Amphenicols,0.168
2015,J01C,"Beta-lactam antibacterials, penicillins",74.438
2015,J01D,Other beta-lactam antibacterials,7.808
2015,J01E,Sulfonamides and trimethoprim,1.646
2015,J01F,"Macrolides, lincosamides and streptogramins",7.942
2015,J01G,Aminoglycoside antibacterials,0.092
2015,J01M,Quinolone antibacterials,7.725
2015,J01R,Combinations of antibacterials,0.000
2015,J01X,Other antibacterials,4.584
2015,P01A,Agents against amoebiasis and other protozoal diseases,1.247
2016,A07A,Intestinal antiinfectives,0.540
2016,J01A,Tetracyclines,2.647
2016,J01B,Amphenicols,0.114
2016,J01C,"Beta-lactam antibacterials, penicillins",75.878
2016,J01D,Other beta-lactam antibacterials,7.347
2016,J01E,Sulfonamides and trimethoprim,1.910
2016,J01F,"Macrolides, lincosamides and streptogramins",7.785
2016,J01G,Aminoglycoside antibacterials,0.094
2016,J01M,Quinolone antibacterials,7.366
2016,J01R,Combinations of antibacterials,0.000
2016,J01X,Other antibacterials,4.550
2016,P01A,Agents against amoebiasis and other protozoal diseases,1.236
2017,A07A,Intestinal antiinfectives,0.530
2017,J01A,Tetracyclines,2.562
2017,J01B,Amphenicols,0.110
2017,J01C,"Beta-lactam antibacterials, penicillins",73.268
2017,J01D,Other beta-lactam antibacterials,6.848
2017,J01E,Sulfonamides and trimethoprim,1.772
2017,J01F,"Macrolides, lincosamides and streptogramins",7.345
2017,J01G,Aminoglycoside antibacterials,0.088
2017,J01M,Quinolone antibacterials,6.851
2017,J01R,Combinations of antibacterials,0.000
2017,J01X,Other antibacterials,4.518
2017,P01A,Agents against amoebiasis and other protozoal diseases,1.236
2018,A07A,Intestinal antiinfectives,0.514
2018,J01A,Tetracyclines,2.447
2018,J01B,Amphenicols,0.105
2018,J01C,"Beta-lactam antibacterials, penicillins",76.207
2018,J01D,Other beta-lactam antibacterials,7.052
2018,J01E,Sulfonamides and trimethoprim,1.989
2018,J01F,"Macrolides, lincosamides and streptogramins",7.558
2018,J01G,Aminoglycoside antibacterials,0.086
2018,J01M,Quinolone antibacterials,3.840
2018,J01R,Combinations of antibacterials,0.000
2018,J01X,Other antibacterials,4.774
2018,P01A,Agents against amoebiasis and other protozoal diseases,1.233
2019,A07A,Intestinal antiinfectives,0.545
2019,J01A,Tetracyclines,2.493
2019,J01B,Amphenicols,0.101
2019,J01C,"Beta-lactam antibacterials, penicillins",74.285
