"","Country","Year","mg/PCU"
"218","Greece","2018",93.6
"219","Hungary","2018",180.5
"220","Iceland","2018",4.8
"221","Ireland","2018",45.9
"222","Italy","2018",244
"223","Latvia","2018",35.9
"224","Lithuania","2018",32.7
"225","Luxembourg","2018",33.6
"226","Malta","2018",153.4
"227","Netherlands","2018",57.4
"228","Norway","2018",2.9
"229","Poland","2018",168.3
"230","Portugal","2018",183.4
"231","Romania","2018",82.7
"232","Slovakia","2018",49.2
"233","Slovenia","2018",43.2
"234","Spain","2018",219
"235","Sweden","2018",12.1
"236","Austria","2019",42.6
"237","Belgium","2019",101.9
"238","Bulgaria","2019",112.7
"239","Croatia","2019",62.8
"240","Cyprus","2019",350
"241","Czechia","2019",53.8
"242","Denmark","2019",37.1
"243","EU","2019",95.6
"244","Estonia","2019",53.5
"245","Finland","2019",19.1
"246","France","2019",58.3
"247","Germany","2019",78.6
"248","Greece","2019",84.8
"249","Hungary","2019",184.8
"250","Ireland","2019",40.8
"251","Italy","2019",191.1
"252","Latvia","2019",28.2
"253","Lithuania","2019",65.6
"254","Luxembourg","2019",29
"255","Malta","2019",110.3
"256","Netherlands","2019",48.2
"257","Norway","2019",2.3
"258","Poland","2019",185.2
"259","Portugal","2019",143.8
"260","Romania","2019",53.9
"261","Slovakia","2019",42.3
"262","Slovenia","2019",44.9
"263","Spain","2019",126.7
"264","Sweden","2019",11.4
"265","Austria","2020",46.3
"266","Belgium","2020",103.4
"267","Bulgaria","2020",120.9
"268","Croatia","2020",68.6
"269","Cyprus","2020",344.2
"270","Czechia","2020",56.2
"271","Denmark","2020",37.2
"272","EU","2020",101.5
"273","Estonia","2020",49.2
"274","Finland","2020",16.2
"275","France","2020",56.6
"276","Germany","2020",83.8
"277","Greece","2020",96.4
"278","Hungary","2020",163.4
"279","Iceland","2020",3.8
"280","Ireland","2020",47
"281","Italy","2020",181.8
"282","Latvia","2020",29.6
"283","Lithuania","2020",60.2
"284","Luxembourg","2020",29
"285","Malta","2020",116.1
"286","Netherlands","2020",50.2
"287","Norway","2020",2.3
"288","Poland","2020",187.9
"289","Portugal","2020",172.5
"290","Romania","2020",57.8
"291","Slovakia","2020",51.9
"292","Slovenia","2020",33.3
"293","Spain","2020",154.3
"294","Sweden","2020",12.2
"295","Austria","2021",41.3
"296","Belgium","2021",95.3
"297","Bulgaria","2021",124.5
"298","Croatia","2021",62.7
"299","Cyprus","2021",296.5
"300","Czechia","2021",50
"301","Denmark","2021",33.4
"302","EU","2021",96.9
"303","Estonia","2021",46.6
"304","Finland","2021",17
"305","France","2021",51.7
"306","Germany","2021",73.2
"307","Greece","2021",108.8
"308","Hungary","2021",155.6
"309","Ireland","2021",42.4
"310","Italy","2021",173.5
"311","Latvia","2021",25.5
"312","Lithuania","2021",71.2
"313","Luxembourg","2021",27.1
"314","Malta","2021",110.5
"315","Netherlands","2021",47.6
"316","Norway","2021",2.3
"317","Poland","2021",175.5
"318","Portugal","2021",149.9
"319","Romania","2021",59
"320","Slovakia","2021",41.7
"321","Slovenia","2021",31.8
"322","Spain","2021",157.2
"323","Sweden","2021",12.1
"324","Austria","2022",36.2
"325","Belgium","2022",73.5
"326","Bulgaria","2022",103.2
"327","Croatia","2022",56.2
"328","Cyprus","2022",254.7
"329","Czechia","2022",46.4
"330","Denmark","2022",34.1
"331","EU","2022",84.8
"332","Estonia","2022",45.8
"333","Finland","2022",14.9
"334","France","2022",38.9
"335","Germany","2022",69.9
"336","Greece","2022",89
"337","Hungary","2022",111.2
"338","Iceland","2022",4.4
"339","Ireland","2022",33.6
"340","Italy","2022",157.5
"341","Latvia","2022",20.8
"342","Lithuania","2022",48.2
"343","Luxembourg","2022",25.1
"344","Malta","2022",74.4
"345","Netherlands","2022",37
"346","Poland","2022",196
"347","Portugal","2022",77.1
"348","Romania","2022",48.8
"349","Slovakia","2022",41.1
"350","Slovenia","2022",25.7
"351","Spain","2022",127.4
"352","Sweden","2022",10.6
"353","Austria","2023",36
"354","Belgium","2023",61.8
"355","Bulgaria","2023",103.6
"356","Croatia","2023",45.4
"357","Cyprus","2023",186.6
"358","Czechia","2023",42.2
"359","Denmark","2023",31.9
"360","EU","2023",85.5
"361","Estonia","2023",42.5
"362","Finland","2023",16.1
"363","France","2023",39.5
"364","Germany","2023",71.1
"365","Greece","2023",56
"366","Hungary","2023",97.1
"367","Ireland","2023",33.4
"368","Italy","2023",140.3
"369","Latvia","2023",21.5
"370","Lithuania","2023",42.5
"371","Luxembourg","2023",24.7
"372","Malta","2023",80.2
"373","Netherlands","2023",39.4
"374","Poland","2023",150.9
"375","Portugal","2023",133.4
"376","Romania","2023",73
"377","Slovakia","2023",45
"378","Slovenia","2023",24.3
"379","Spain","2023",156.8
"380","Sweden","2023",11.2
"381","Austria","2024",38.2
"382","Belgium","2024",70.7
"383","Bulgaria","2024",108.6
"384","Croatia","2024",59.4
"385","Cyprus","2024",189.8
"386","Czechia","2024",42.7
"387","Denmark","2024",34.9
"388","EU","2024",89.6
"389","Estonia","2024",40.2
"390","Finland","2024",15.7
"391","France","2024",39.8
"392","Germany","2024",75.5
"393","Greece","2024",62.3
"394","Hungary","2024",106.4
"395","Ireland","2024",33.8
"396","Italy","2024",133
"397","Latvia","2024",27.5
"398","Lithuania","2024",53.9
"399","Luxembourg","2024",20.3
"400","Malta","2024",79.3
"401","Netherlands","2024",43.3
"402","Poland","2024",166.3
"403","Portugal","2024",105.8
"404","Romania","2024",81.7
"405","Slovakia","2024",52.7
"406","Slovenia","2024",25.1
"407","Spain","2024",166.9
"408","Sweden","2024",11.3
