Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Sweden*,302,10,3.31,1.6 - 6.0 ,2,0.66,0.1 - 2.4 ,-, -, -,-, -, -,8,2.65,1.2 - 5.2 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
United Kingdom (Northern Ireland),294,109,37.07,31.5 - 42.9 ,69,23.47,18.7 - 28.7 ,28,9.523809523809526,6.4 - 13.5,2,0.6802721088435375,0.1 - 2.4,40,13.61,9.9 - 18.1 ,0,0,0 - 1.2 ,0,0,0 - 1.2 
Total (28 MSs),7572,3081,40.8590867414358,39.8 - 42.0 ,2320,30.75700234916647,29.7 - 31.8 ,478,9.423751410414747,8.6 - 10.3,28,0.55201891107032,0.4 - 0.8,683,9.05475543296582,8.4 - 9.7 ,80,1.07,0.8 - 1.3 ,4,0.05,0 - 0.1 
Iceland,143,2,1.398601398601399,0.2 - 5.0 ,2,1.398601398601399,0.2 - 5.0 ,0,0,0 - 2.6,0,0,0 - 2.6,0,0,0 - 2.5 ,0,0,0 - 2.5 ,0,0,0 - 2.5 
Norway*,333,65,19.51951951951952,15.4 - 24.2 ,6,1.801801801801802,0.7 - 3.9 ,-, -, -,-, -, -,59,17.71771771771772,13.8 - 22.3 ,0,0,0 - 1.1 ,0,0,0 - 1.1 
Switzerland,308,19,6.168831168831169,3.8 - 9.5 ,12,3.896103896103896,2.0 - 6.7 ,1,0.3246753246753247,0 - 1.8,0,0,0 - 1.2,6,1.948051948051948,0.7 - 4.2 ,1,0.3246753246753247,0 - 1.8 ,0,0,0 - 1.2
Total (3 non-MSs),784,86,11,8.9 - 13.4,20,2.6,1.6 - 3.9,1,0.2,0 - 1.2,0,0,0 - 0.8,65,8.3,6.5 - 10.5,1,0.1,0 - 0.7,0,0,0 - 0.5
Total (31 MSs and non-MSs),8356,3167,38.1,37.0 - 39.1,2340,28.1,27.1 - 29.1,479,8.7,7.9 - 9.4,28,0.5,0.3 - 0.7,748,9,8.4 - 9.6,81,1,0.8 - 1.2,4,0,0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
