Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
Sweden,75,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8,0,0,0.0 - 4.8
United Kingdom (Northern Ireland)*,300,48,16,12.0 - 20.7,35,11.7,8.3 - 15.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2,13,4.3,2.3 - 7.3,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Total (27 MSs),4501,1057,23.7,22.5 - 25.0,918,20.6,19.4 - 21.8,106,3.4,2.8 - 4.1,11,0.4,0.2 - 0.6,109,2.5,2.0 - 2.9,30,0.7,0.5 - 1.0,0,0,0.0 - 0.1
Norway *,113,1,0.9,0.0 - 4.8,0,0,0.0 - 3.2,-, -, -,-, -, -,1,0.9,0.0 - 4.8,0,0,0.0 - 3.2,0,0,0.0 - 3.2
Switzerland,160,64,40,32.4 - 48.0,43,26.9,20.2 - 34.5,7,4.4,1.8 - 8.8,0,0,0.0 - 2.3,16,10,5.8 - 15.7,5,3.1,1.0 - 7.1,0,0,0.0 - 2.3
Total (2 non-MSs),273,65,23.8,18.9 - 29.3,43,15.8,11.6 - 20.6,7,4.4,1.8 - 8.8,0,0,0.0 - 2.3,17,6.2,3.7 - 9.8,5,1.8,0.6 - 4.2,0,0,0.0 - 1.3
Total (29 MSs and non-MSs),4774,1122,23.5,22.3 - 24.7,961,20.1,19.0 - 21.3,113,3.4,2.9 - 4.1,11,0.3,0.2 - 0.6,126,2.6,2.2 - 3.1,35,0.7,0.5 - 1.0,0,0,0.0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
