Country,Ns,ESBL and/or AmpC(a),,,ESBL(b),,,ESBL only CLA/CTX SYN (c),,,ESBL only CLA/CAZ SYN(d),,,AmpC(e),,,ESBL + AmpC(f),,,CP(g)
,,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI,n,%P,95% CI
United Kingdom (Northern Ireland)*,300,25,8.3,5.5 - 12.1,13,4.3,2.3 - 7.3,-,  -,  -,-,  -,  -,12,4,2.1 - 6.9,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Total (28 MSs),6848,1996,29.4,28.4 - 30.5,1571,23.2,22.2- 24.2,249,6.4,5.6 - 7.2,26,0.7,0.4 - 1.0,368,5.4,4.9 - 6.0,59,0.9,0.7 - 1.1,0,0,0.0 - 0.1
Iceland,135,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7,0,0,0.0 - 2.7
Norway*,319,1,0.3,0.0 - 1.7,0,0,0.0 - 1.2,-,  -,  -,-,  -,  -,1,0.3,0.0 - 1.7,0,0,0.0 - 1.2,0,0,0.0 - 1.2
Republic of North Macedonia,4,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2,0,0,0.0 - 60.2
Switzerland,310,75,24.2,19.5 - 29.4,65,21,16.6 - 25.9,3,1,0.2 - 2.8,7,2.3,0.9 - 4.6,9,2.9,1.3 - 5.4,1,0.3,0.0 - 1.8,0,0,0.0 - 1.2
Total non-MS (4 non-MSs),768,76,9.9, 7.9 - 12.2 ,65,8.5,6.6 - 10.7,3,0.7,0.1 - 1.9,7,1.6,0.6 - 3.2,10,1.3,"0,6 - 2,4",1,0.1,0.0 - 0.7,0,0,0.0 - 0.5
Total (32 MSs and non-MSs),7616,2072,27.2,26.2 - 28.2,1636,21.5,20.6 - 22.4,252,5.8,5.1 - 6.5,33,0.8,0.5 - 1.1,378,5,4.5- 5.5,60,0.8,0.6 - 1.0,0,0,0.0 - 0.1

,,Countries with negative results 
,*,"Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
