Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Sweden*,302,2.980132450331126,1.4 - 5.6 ,1.655629139072848,0.5 - 3.8 ,,,,,1.324503311258278,0.4 - 3.4 ,0,0 - 1.2 ,0,0 - 1.2 
United Kingdom (Northern Ireland),308,1.623376623376623,0.5 - 3.7 ,0.9740259740259738,0.2 - 2.8 ,0.3246753246753247,0 - 1.8,0,0 - 1.2,0.6493506493506493,0.1 - 2.3 ,0,0 - 1.2 ,0,0 - 1.2 
Total (26 MSs + XI),7968,34.97434817730265,33.9 - 36.0,26.82461747847309,25.8 - 27.8 ,6.265929258436525,5.7 - 6.9,0.6080146989318461,0.4 - 0.8,7.025194214805011,6.5 - 7.6 ,1.200347932385748,1.0 - 1.5 ,0.05054096557413679,0 - 0.1 
Iceland,153,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4,0,0 - 2.4,0,0 - 2.4 ,0,0 - 2.4 ,0,0 - 2.4 
Norway*,363,0.5509641873278237,0.1 - 2.0 ,0.2754820936639119,0 - 1.5 ,,,,,0.2754820936639119,0 - 1.5 ,0,0 - 1.0 ,0,0 - 1.0 
Switzerland,510,4.117647058823529,2.6 - 6.2 ,1.568627450980392,0.7 - 3.1 ,0,0 - 0.7,0.588235294117647,0.1 - 1.7,2.549019607843137,1.4 - 4.3 ,0,0 - 0.7 ,0,0 - 0.7 
Total (3 non-MSs),1026,2.2,1.4 - 3.3,0.9,0.4 - 1.7,0,0 - 0.6,0.5,0.1 - 1.3,1.4,0.8 - 2.3,0,0 - 0.4,0,0 - 0.4
Total MSs and non-MSs,8994,31.2,30.3 - 32.2,23.9,23.0 - 24.8,5.6,5.1 - 6.2,0.6,0.4 - 0.8,6.4,5.9 - 6.9,1.1,0.9 - 1.3,0,0 - 0.1 

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
