DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2009,10753080,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2010,10839905,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2011,11000638,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2012,11075889,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2013,11137974,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2014,11180840,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2015,11237274,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2016,11311117,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2017,11351727,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2018,11398589,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2019,11455519,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2020,11522440,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2021,11554767,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2022,11617623,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2023,11742796,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2024,11817096,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Total,Total,Belgium,2025,11883495,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2005,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2006,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2007,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2008,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2009,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2010,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2011,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2012,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2013,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2014,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2015,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2016,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2017,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2018,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2019,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2020,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2021,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2022,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2023,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2024,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Females,Belgium,2025,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2005,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2006,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2007,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2008,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2009,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2010,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2011,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2012,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2013,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2014,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2015,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2016,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2017,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2018,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2019,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2020,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2021,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2022,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2023,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2024,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Males,Belgium,2025,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2005,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2006,0,,
