Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 28
Table 11: Occurrence of presumptive ESBL- and/or AmpC-producing Escherichia coli in cattle under one year of age

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
174,172,98.9,150,86.2,29,16.7,3,1.7,17,9.8,5,2.9,0
85,85,100,83,97.6,27,31.8,0,0,2,2.4,0,0,0
18,17,94.4,3,16.7,1,5.6,0,0,14,77.8,0,0,0
42,40,95.2,24,57.1,6,14.3,0,0,15,35.7,1,2.4,0
193,192,99.5,190,98.5,-,-,-,-,2,1,0,0,0
280,280,100,269,96.1,-,-,-,-,11,3.9,0,0,0
103,102,99,97,94.2,11,10.7,0,0,2,1.9,3,2.9,0
15,15,100,12,80,4,26.7,0,0,1,6.7,2,13.3,0
32,32,100,29,90.6,6,18.8,0,0,2,6.3,1,3.1,0
181,181,100,143,79,79,43.6,0,0,22,12.2,16,8.8,0
2,2,100,2,100,0,0,0,0,0,0,0,0,0
1 125,1 118,99.4,1 002,89.1,163,14.5,3,0.3,88,7.8,28,2.5,0
3,3,100,0,0,0,0,0,0,3,100,0,0,0
70,69,98.6,46,65.7,14,20,0,0,23,32.9,0,0,0
