Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 42
ESBL only ESBL only

-- Table 1 (auto-detected) --
NP2(a),"ESBL and or
AmpC",,ESBL(b),,"ESBL only
CLA/CTX
SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n,%(h),n
134,128,95.5,105,78.4,66,49.3,1,0.7,23,17.2,0,0,0
74,73,98.6,60,81.1,23,31.1,1,1.4,13,17.6,0,0,0
240,240,100,190,79.2,32,13.3,1,0.4,39,16.3,11,4.6,0
9,9,100,5,55.6,-,-,-,-,4,44.4,0,0,0
5,5,100,3,60,1,20,0,0,2,40,0,0,0
2 804,2 768,98.7,2 123,75.7,371,13.2,36,1.3,556,19.8,95,3.4,4
2,2,100,1,50,-,-,-,-,1,50,0,0,0
22,21,95.5,8,36.4,0,0,3,13.6,13,59.1,0,0,0
