Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 20
ESBL only

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,ESBL + AmpC(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
99,51.5,41.3 - 61.7,41.7,31.6 - 51.8,6.6,2.9 - 14,1.1,0 - 5.5,5.5,1.7 - 11.4,4.4,1.1 - 10,0
239,69.5,63.2 - 75.2,53.1,46.6 - 59.6,10.5,6.9 - 15.1,0.8,0.1 - 3,14.2,10.1 - 19.3,2.1,0.7 - 4.8,0
149,58.4,50 - 66.4,41.6,33.6 - 50,19.5,"13.4 -
26.7",0.7,0 - 3.7,14.8,9.5 – 21.5,2,0.4 - 5.8,0
153,57.5,49.3 - 65.5,23.5,17.1 - 31.1,8.5,4.6 - 14.1,0,0 - 2.4,33.3,25.9 - 41.4,0.7,0 - 3.6,0
423,77.1,72.8 - 81,59.6,54.7 - 64.3,13.2,"10.2 -
16.8",0.2,0 - 1.3,9.7,7 – 12.9,7.8,"5.4 -
10.8",0
300,8.3,5.5 - 12.1,1,0.2 - 2.9,0,0 - 1.2,0,0 - 1.2,7.3,4.7 - 10.9,0,0 - 1.2,0
68,60.3,47.7 - 72,57.4,44.8 - 69.3,22.1,"12.9 -
33.8",0,0 - 5.3,2.9,0.4 - 10.2,0,0 - 5.3,0
6468,43.3,42 – 44.5,33,31.8 - 34.1,8.9,8.1 - 9.7,0.3,0.2 - 0.5,9.3,8.6 - 10,1.0,0.8 - 1.3,0
152,3.3,1.1 - 7.5,3.3,1.1 - 7.5,0,0 - 2.4,3.3,1.1 - 7.5,0,0 - 2.4,0,0 - 2.4,0
321,14.6,11 - 19,0.9,0.2 - 2.7,0,0 - 1.1,0,0 - 1.1,13.7,10.1 - 18,0,0 - 1.1,0
289,5.9,3.5 - 9.3,4.2,2.2 - 7.1,2.1,0.8 - 4.5,0.3,0 - 1.9,1.7,0.6 - 4,0,0 - 1.3,0
