Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 24
ESBL only

-- Table 1 (auto-detected) --
Ns,"ESBL and or
AmpC(a)",,ESBL(b),,"ESBL only
CLA/CTX SYN(c)",,"ESBL only
CLA/CAZ
SYN(d)",,AmpC(e),,"ESBL +
AmpC(f)"
,%P,95% CI,%P,95% CI,%P,95% CI,%P,"95%
CI",%P,95% CI,%P,95% CI,%P
150,7.3,3.7 - 12.7,6,2.8 - 11.1,2,0.4 - 5.7,0,0 - 2.4,1.3,0.2 - 4.7,0,0 - 2.4,0
152,5.3,2.3 - 10.1,3.3,1.1 - 7.5,2,0.4 - 5.7,0,0 - 2.4,2,0.4 - 5.7,0,0 - 2.4,0
300,3.7,1.8 - 6.5,3.3,1.6 - 6,0.6,0.1 - 2.4,0,0 - 1.2,0.7,0 - 1.8,0,0 - 1.2,0
303,0.3,0 - 1.8,0.3,0 - 1.8,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0,0 - 1.2,0
6 384,5.8,5.2 – 6.3,5,4.5 - 5.6,1.4,1.1 - 1.8,<0.1,0 - 0.1,0.6,0.5 – 0.9,0.1,0 - 0.2,<0.1
614,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0,0 - 0.6,0
