Source: Annex D_ESBL_EUSR_AMR_2021-2022.pdf
Page: 11
Table 1: Presumptive ESBL- and AmpC-producing Salmonella spp. isolated from fattening pigs and cattle under one year of

-- Table 1 (auto-detected) --
Country,NP1,NP2(a),"ESBL and/
or AmpC",,,,ESBL(b),,,,ESBL only,,,,ESBL only,,,,AmpC(e),,,,"ESBL +
AmpC(f)",,,,CPs(g)
,,,ESBL and/,,,,,,,,CLA/CTX,,,,CLA/CAZ,,,,,,,,ESBL +
,,,or AmpC,,,,ESBL(b),,,,SYN(c),,,,SYN(d),,,,AmpC(e),,,,AmpC(f),,,,CPs(g)
,NP1,NP2(a),n,,%(h),,n,,%(h),,n,,%(h),,n,,%(h),,n,,%(h),,n,,%(h),,n,,%(h)

-- Table 2 (auto-detected) --
20,1,1,5,1,5,-,-,-,-,0,0,0,0,0
20,1,1,5,0,0,1,5,0,0,0,0,1,5,0
40,2,2,5,0,0,1,2.5,0,0,0,0,1,2.5,0

-- Table 3 (auto-detected) --
80,4,4,5,3,3.8,1,1.3,0,0,0,0,1,1.3,0
91,1,1,1.1,1,1.1,-,-,-,-,0,0,0,0,0
37,4,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6,6,5.8,5,4.8,0,0,0,0,0,0,1,1,0
312,15,11,3.5,9,2.9,1,0.3,0,0,0,0,2,0.6,0
